STOCK,COMPANY_NAME,MARKET_CAP(CR),VOLUME,RELATIVE_VOLUME,PRICE,TREND_THREE,TREND_SIX,RSI,RSI_DIFF,ATR,ATR_DIFF,RSI_INDICATOR,UPTREND_INDICATOR,MOVING_AVG_IND,STRENGTH,CHART_INDICATOR,BREAKOUT,LAST_THREE_CANDEL,NADARAYA_WATSON,VOL_PRC_CORR,PRICE_DIFF,PEICE_GAP_PCTG,CDL_NME_YES,CDL_SCR_YES,CDL_NME_TDY,CDL_SCR_TDY
OCCL,Oriental Carbon & Chemicals Limited,657,12813.0,0.46,262.45,NO TREND,DECREASING,51.2,0.57,14.89,2.32,STAY,SELL,SELL,0.0,STAY,False,False,STAY,0.31,0.36,0.0,,-100,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
OFSS,Oracle Financial Services Software Limited,76039,92020.0,0.94,11915.0,NO TREND,INCREASING,61.29,5.82,413.9,-2.46,STAY,BUY,BUY,0.35,STAY,False,False,STAY,-0.29,3.61,0.0,,0,,0
OIL,Oil India Limited,65091,851328.0,0.25,507.55,DECREASING,INCREASING,44.89,-0.28,22.15,1.46,STAY,SELL,BUY,0.75,STRONG SELL,False,False,STAY,0.23,0.5,0.0,,0,['SPINNINGTOP'],100
OILCOUNTUB,Oil Country Tubular Limited,154,162102.0,4.19,59.27,NO TREND,INCREASING,71.57,7.81,1.87,-9.89,SELL,BUY,BUY,0.72,STRONG BUY,True,True,STAY,0.67,0.0,0.0,['DOJI'],100,"['DOJI', 'DRAGONFLYDOJI', 'LONGLEGGEDDOJI']",300
OLECTRA,Olectra Greentech Limited,15501,175320.0,0.61,1576.65,DECREASING,INCREASING,42.63,-1.59,54.6,4.27,STAY,BUY,SELL,0.5,STAY,False,False,STAY,0.37,-0.51,0.0,,0,,0
OLIL,Oneclick Logistics India Limited,23,13200.0,0.3,95.8,INCREASING,INCREASING,61.84,-3.03,5.08,2.09,STAY,BUY,BUY,0.28,STRONG BUY,False,False,STAY,0.59,2.46,-7.81,,0,,0
OMAXAUTO,Omax Autos Limited,219,7833.0,0.22,120.5,NO TREND,INCREASING,48.62,0.49,7.78,3.94,STAY,BUY,BUY,0.03,STAY,False,False,STAY,0.21,-2.02,0.0,,0,,0
OMAXE,Omaxe Limited,1656,79773.0,1.17,117.35,NO TREND,INCREASING,52.82,2.62,5.37,-2.82,STAY,SELL,SELL,0.03,STAY,False,False,STAY,0.4,2.04,0.0,,0,['SPINNINGTOP'],100
OMFURN,Omfurn India Limited,62,26400.0,2.75,73.0,NO TREND,INCREASING,60.6,5.24,2.71,-6.5,STAY,BUY,BUY,0.2,STAY,True,True,STAY,0.29,7.35,0.0,['DOJI'],100,['MARUBOZU'],100
OMINFRAL,OM INFRA LIMITED,1227,160499.0,0.89,148.07,DECREASING,INCREASING,36.37,-4.94,8.79,2.06,BUY,BUY,SELL,0.46,STAY,False,False,STAY,-0.48,-2.01,0.0,['INVERTEDHAMMER'],100,,0
OMKARCHEM,Omkar Speciality Chemicals Limited,11,19908.0,3.65,10.14,NO TREND,DECREASING,61.32,-9.91,0.52,-6.9,STAY,BUY,BUY,0.0,BUY,False,False,STAY,-0.02,-5.06,0.0,['DOJI'],100,,0
ONDOOR,On Door Concepts Limited,155,0.0,0.0,419.0,NO TREND,INCREASING,53.0,-0.0,24.61,7.69,STAY,SELL,BUY,0.12,STAY,False,False,STAY,0.27,0.0,0.0,,0,['DOJI'],100
ONELIFECAP,Onelife Capital Advisors Limited,40,93087.0,3.43,18.65,DECREASING,INCREASING,62.4,12.43,0.78,-9.36,STAY,BUY,BUY,0.49,STAY,True,True,STAY,0.14,4.78,0.86,['MARUBOZU'],100,,0
ONEPOINT,One Point One Solutions Limited,1038,145162.0,0.24,66.74,DECREASING,INCREASING,48.24,-1.77,2.94,3.4,STAY,BUY,BUY,0.03,STAY,False,False,STAY,0.49,-0.83,0.0,"['DOJI', 'LONGLEGGEDDOJI']",0,,0
ONGC,Oil & Natural Gas Corporation Limited,337214,3942984.0,0.4,258.65,DECREASING,INCREASING,31.0,-2.74,7.27,2.88,BUY,BUY,SELL,0.95,STRONG SELL,False,False,STAY,0.39,-1.41,0.0,,0,,-100
ONMOBILE,OnMobile Global Limited,637,489338.0,1.07,79.59,NO TREND,NO TREND,48.01,-1.23,3.53,1.31,STAY,SELL,SELL,0.06,STAY,False,False,STAY,0.7,0.05,0.0,,0,"['DOJI', 'LONGLEGGEDDOJI', 'HIGHWAVE', 'SPINNINGTOP']",400
ONWARDTEC,Onward Technologies Limited,996,57231.0,0.92,334.45,DECREASING,INCREASING,33.55,-0.9,16.09,2.63,BUY,SELL,SELL,0.82,STRONG SELL,False,False,STAY,-0.08,-0.79,0.0,,-100,,0
